clf,mean_test_score,std_test_score,clf__max_depth,clf__n_estimators,clf__n_neighbors,clf__eta
RandomForestClassifier,0.6627422071392658,0.08392894500537341,3.0,40.0,,
RandomForestClassifier,0.6626391151332328,0.08417502185505858,3.0,100.0,,
RandomForestClassifier,0.6633578682755151,0.08240941710814391,3.0,200.0,,
RandomForestClassifier,0.6644859477124183,0.08330672580238718,3.0,500.0,,
RandomForestClassifier,0.663084074912016,0.08328621363000906,3.0,1000.0,,
RandomForestClassifier,0.6841181749622927,0.08059236845418383,4.0,40.0,,
RandomForestClassifier,0.6861684137757669,0.08106058309715508,4.0,100.0,,
RandomForestClassifier,0.6881015460030165,0.08191558983866272,4.0,200.0,,
RandomForestClassifier,0.6884371166415286,0.08263007904617899,4.0,500.0,,
RandomForestClassifier,0.6877881724484667,0.08275517539164362,4.0,1000.0,,
RandomForestClassifier,0.6975957390648567,0.07959400515965534,5.0,40.0,,
RandomForestClassifier,0.7005949472096531,0.08074603702144001,5.0,100.0,,
RandomForestClassifier,0.7015787330316742,0.0802675855516136,5.0,200.0,,
RandomForestClassifier,0.7028346907993965,0.08205761472505743,5.0,500.0,,
RandomForestClassifier,0.7027786576168928,0.08216645768301417,5.0,1000.0,,
RandomForestClassifier,0.7067340372046256,0.08140091237868555,6.0,40.0,,
RandomForestClassifier,0.7100188411261942,0.0818285016238984,6.0,100.0,,
RandomForestClassifier,0.7113991704374059,0.08051314478995422,6.0,200.0,,
RandomForestClassifier,0.7123666289592758,0.08012096336421368,6.0,500.0,,
RandomForestClassifier,0.7126913901458017,0.08070375364079924,6.0,1000.0,,
RandomForestClassifier,0.7105964429361491,0.0798530840018825,7.0,40.0,,
RandomForestClassifier,0.7124203117144292,0.08100430611629092,7.0,100.0,,
RandomForestClassifier,0.7138409753645046,0.08119485517988126,7.0,200.0,,
RandomForestClassifier,0.7163730266465561,0.0812266301097114,7.0,500.0,,
RandomForestClassifier,0.7162403720462543,0.08186319805012837,7.0,1000.0,,
RandomForestClassifier,0.7113199095022624,0.08093563319969903,8.0,40.0,,
RandomForestClassifier,0.7161922448466566,0.08124461577454185,8.0,100.0,,
RandomForestClassifier,0.7164450226244345,0.0813800392752486,8.0,200.0,,
RandomForestClassifier,0.7171201608848667,0.08138616377885259,8.0,500.0,,
RandomForestClassifier,0.7173481020613375,0.0809720040191186,8.0,1000.0,,
RandomForestClassifier,0.7108819884364002,0.07913556586499994,10.0,40.0,,
RandomForestClassifier,0.7154095148315736,0.08102016346777599,10.0,100.0,,
RandomForestClassifier,0.7162807943690297,0.08127603807853588,10.0,200.0,,
RandomForestClassifier,0.7169699723479135,0.08123429470001102,10.0,500.0,,
RandomForestClassifier,0.716438712921066,0.08179707223366839,10.0,1000.0,,
RandomForestClassifier,0.6971903469079939,0.08442810368156899,,40.0,,
RandomForestClassifier,0.6977045374560079,0.08440393493591103,,100.0,,
RandomForestClassifier,0.6984481649069885,0.08285268665385652,,200.0,,
