clf,mean_test_score,std_test_score,clf__max_depth,clf__n_estimators,clf__n_neighbors,clf__eta
XGBClassifier,0.6793192056309703,0.0954775580947194,5.0,200.0,,0.2
XGBClassifier,0.678178431372549,0.09639010358991452,5.0,500.0,,0.2
XGBClassifier,0.6768657868275514,0.0977526884093265,5.0,1000.0,,0.2
XGBClassifier,0.6837203996983409,0.09600127848258423,6.0,40.0,,0.2
XGBClassifier,0.6804471719457013,0.09522218013301983,6.0,100.0,,0.2
XGBClassifier,0.6799609602815485,0.09419901257441196,6.0,200.0,,0.2
XGBClassifier,0.678037606837607,0.0956521453936566,6.0,500.0,,0.2
XGBClassifier,0.6752040849673202,0.09738113256105477,6.0,1000.0,,0.2
XGBClassifier,0.6836017596782304,0.09642490032271768,7.0,40.0,,0.2
XGBClassifier,0.6821300779286072,0.09572634936132067,7.0,100.0,,0.2
XGBClassifier,0.6798782302664657,0.0964542387318928,7.0,200.0,,0.2
XGBClassifier,0.6774896430367019,0.09735583720778146,7.0,500.0,,0.2
XGBClassifier,0.6745853695324283,0.09855512600994353,7.0,1000.0,,0.2
XGBClassifier,0.681452853192559,0.09577131211135352,8.0,40.0,,0.2
XGBClassifier,0.6816067747611867,0.09475289280992301,8.0,100.0,,0.2
XGBClassifier,0.6803084841628959,0.09634559888239956,8.0,200.0,,0.2
XGBClassifier,0.676695236299648,0.0974245986475773,8.0,500.0,,0.2
XGBClassifier,0.6731891151332328,0.09821803346395956,8.0,1000.0,,0.2
XGBClassifier,0.6817602689793867,0.09503971038748472,10.0,40.0,,0.2
XGBClassifier,0.681297197083962,0.094959140960175,10.0,100.0,,0.2
XGBClassifier,0.6783404600301659,0.09592270159473416,10.0,200.0,,0.2
XGBClassifier,0.6751138888888889,0.09657869374130586,10.0,500.0,,0.2
XGBClassifier,0.6727560331825038,0.09664758122236254,10.0,1000.0,,0.2
XGBClassifier,0.6837203996983409,0.09600127848258423,,40.0,,0.2
XGBClassifier,0.6804471719457013,0.09522218013301983,,100.0,,0.2
XGBClassifier,0.6799609602815485,0.09419901257441196,,200.0,,0.2
XGBClassifier,0.678037606837607,0.0956521453936566,,500.0,,0.2
XGBClassifier,0.6752040849673202,0.09738113256105477,,1000.0,,0.2
XGBClassifier,0.6881602187028658,0.09571514452451524,4.0,40.0,,0.3
XGBClassifier,0.6828501382604324,0.09447199406344853,4.0,100.0,,0.3
XGBClassifier,0.6802641025641026,0.0956083128193491,4.0,200.0,,0.3
XGBClassifier,0.677238662644545,0.09699877932055363,4.0,500.0,,0.3
XGBClassifier,0.6768235294117647,0.0983180031568737,4.0,1000.0,,0.3
XGBClassifier,0.6834881724484666,0.09601557895393073,5.0,40.0,,0.3
XGBClassifier,0.6817573906485671,0.09464509118740427,5.0,100.0,,0.3
XGBClassifier,0.679762154348919,0.09418483892222984,5.0,200.0,,0.3
XGBClassifier,0.6788689291101054,0.0970928854741024,5.0,500.0,,0.3
XGBClassifier,0.6764046505781799,0.09811553701897227,5.0,1000.0,,0.3
XGBClassifier,0.6852314228255405,0.09610188960761944,6.0,40.0,,0.3
XGBClassifier,0.6827590497737558,0.09639858369565547,6.0,100.0,,0.3
XGBClassifier,0.6797141151332328,0.09554406478120717,6.0,200.0,,0.3
XGBClassifier,0.6766699220713928,0.09700304037495204,6.0,500.0,,0.3
XGBClassifier,0.6746076294620412,0.09786670688681468,6.0,1000.0,,0.3
XGBClassifier,0.6817496857717447,0.09696895693279907,7.0,40.0,,0.3
XGBClassifier,0.6794550402212169,0.09587243364724413,7.0,100.0,,0.3
XGBClassifier,0.6780557440925088,0.0959546230170055,7.0,200.0,,0.3
XGBClassifier,0.6747856460532929,0.0964184951333222,7.0,500.0,,0.3
XGBClassifier,0.6730850301659126,0.0969476093512958,7.0,1000.0,,0.3
XGBClassifier,0.6796063348416288,0.09704274621486768,8.0,40.0,,0.3
XGBClassifier,0.6777697335344395,0.09650110822170294,8.0,100.0,,0.3
XGBClassifier,0.6753855580693816,0.0969335465958683,8.0,200.0,,0.3
XGBClassifier,0.6728617898441429,0.09839970679487436,8.0,500.0,,0.3
XGBClassifier,0.6719324786324787,0.09830986191106024,8.0,1000.0,,0.3
XGBClassifier,0.6792834590246355,0.09596405791959364,10.0,40.0,,0.3
XGBClassifier,0.6773348793363501,0.09510116227906107,10.0,100.0,,0.3
XGBClassifier,0.6762044871794872,0.09584504001134718,10.0,200.0,,0.3
XGBClassifier,0.6726767848164907,0.09762014499537414,10.0,500.0,,0.3
XGBClassifier,0.6715453494218199,0.09765946705691776,10.0,1000.0,,0.3
XGBClassifier,0.6852314228255405,0.09610188960761944,,40.0,,0.3
XGBClassifier,0.6827590497737558,0.09639858369565547,,100.0,,0.3
XGBClassifier,0.6797141151332328,0.09554406478120717,,200.0,,0.3
XGBClassifier,0.6766699220713928,0.09700304037495204,,500.0,,0.3
XGBClassifier,0.6746076294620412,0.09786670688681468,,1000.0,,0.3
DecisionTreeClassifier,0.578558195072901,0.07930063922271553,3.0,,,
DecisionTreeClassifier,0.6213434389140271,0.0830446421151217,4.0,,,
DecisionTreeClassifier,0.6304842760180995,0.08235601826253723,5.0,,,
DecisionTreeClassifier,0.6286779663147312,0.09195036154004864,6.0,,,
DecisionTreeClassifier,0.6168791352438412,0.08291684550950927,7.0,,,
DecisionTreeClassifier,0.6135908371040724,0.0848509526725432,8.0,,,
DecisionTreeClassifier,0.600583195072901,0.08311982069282509,10.0,,,
DecisionTreeClassifier,0.5805056309703368,0.08049657858666122,,,,
