CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
ALP-POS-95b75b4d-1,0,3,2,1,41.99,104.67989133627536,2.710320000000001
ALP-POS-95b75b4d-2,0,3,3,2,62.22,105.30858968554516,2.2768200000000003
ALP-POS-95b75b4d-4,0,4,2,1,41.99,118.60335112300974,3.448620000000002
JAN-GHE-83b26c96-1,0,4,3,1,54.88,122.73560793837522,3.5707200000000023
JAN-GHE-83b26c96-2,0,4,3,2,71.09,133.25889067267585,3.4356000000000013
JAN-GHE-83b26c96-3,0,4,4,1,59.81,138.48194982325572,3.662900000000002
JAN-GHE-83b26c96-6,0,4,3,1,54.88,129.13209648436717,3.995600000000003
JAN-GHE-83b26c96-7,0,4,3,1,54.88,129.13209648436717,3.8167200000000023
JAN-GHE-83b26c96-8,0,5,2,1,41.99,129.91244850342062,4.565820000000003
JAN-GHE-83b26c96-9,0,4,2,1,41.99,129.91244850342062,4.421720000000003
JAN-GHE-83b26c96-10,0,4,3,1,45.23,129.3073400592274,3.2848200000000016
JAN-GHE-83b26c96-11,0,3,2,1,41.99,106.87929804774572,2.879640000000001
JAN-GHE-83b26c96-12,0,3,2,1,41.99,114.3819035389905,3.3337200000000013
JAN-GHE-83b26c96-13,0,3,2,1,41.99,119.77619405439278,3.1758200000000008
JAN-GHE-83b26c96-14,0,3,2,1,41.99,119.37590425652444,3.5900200000000018
JAN-GHE-83b26c96-15,0,3,2,0,33.2,117.39253576122276,3.248920000000002
JAN-GHE-83b26c96-16,0,5,2,0,33.2,123.75747787561933,3.7207000000000026
JAN-GHE-83b26c96-17,0,4,3,1,59.06,117.05193383820551,2.9853200000000006
JAN-GHE-83b26c96-18,0,2,3,1,62.3,119.73314677694871,2.5325000000000006
JAN-GHE-83b26c96-20,0,3,2,1,41.99,122.54167523549481,3.7137200000000017
JAN-GHE-83b26c96-21,0,3,3,1,59.06,110.68699172380892,2.8442200000000013
JAN-GHE-83b26c96-22,0,3,2,1,41.99,123.54750638902401,3.9597200000000026
JAN-GHE-83b26c96-23,0,3,2,1,41.99,119.14869296608327,3.7739200000000017
JAN-GHE-83b26c96-24,0,2,4,0,51.81,114.63552664822441,3.7604200000000017
