id,pose,rfscore
AAR-POS-5507155c-1,1,6.349000952380947
AAR-POS-5507155c-1,2,6.142364739064852
AAR-POS-5507155c-1,3,5.433955386058379
AAR-POS-5507155c-1,4,5.77739027583528
AAR-POS-5507155c-1,5,5.761859929792428
AAR-POS-5507155c-1,6,5.740561716365337
AAR-POS-5507155c-1,7,5.677295549783546
AAR-POS-5507155c-1,8,6.156668642135643
AAR-POS-5507155c-1,9,5.498044336774338
AAR-POS-5507155c-1,10,5.656821505050504
AAR-POS-8a4e0f60-1,1,7.134214741924737
AAR-POS-8a4e0f60-1,2,7.193441957736713
AAR-POS-8a4e0f60-1,3,6.9841829725829685
AAR-POS-8a4e0f60-1,4,7.03196054509379
AAR-POS-8a4e0f60-1,5,7.2906105203130265
AAR-POS-8a4e0f60-1,6,7.124150272838273
AAR-POS-8a4e0f60-1,7,7.28370975824175
AAR-POS-8a4e0f60-1,8,7.1196692843822875
AAR-POS-8a4e0f60-1,9,7.104750902597401
AAR-POS-8a4e0f60-1,10,7.246497654401157
AAR-POS-8a4e0f60-10,1,7.116498476745467
AAR-POS-8a4e0f60-10,2,7.197131208624704
AAR-POS-8a4e0f60-10,3,7.137303879675874
AAR-POS-8a4e0f60-10,4,7.018551302114544
AAR-POS-8a4e0f60-10,5,7.176481772893761
AAR-POS-8a4e0f60-10,6,7.0789760949605895
AAR-POS-8a4e0f60-10,7,6.987413105561107
AAR-POS-8a4e0f60-10,8,7.032161394660893
AAR-POS-8a4e0f60-10,9,7.014433737429239
AAR-POS-8a4e0f60-10,10,7.002607997224996
AAR-POS-8a4e0f60-2,1,6.9627804021811475
AAR-POS-8a4e0f60-2,2,7.258421652264403
AAR-POS-8a4e0f60-2,3,7.269137481990228
AAR-POS-8a4e0f60-2,4,7.232242939560437
AAR-POS-8a4e0f60-2,5,7.184636967338215
AAR-POS-8a4e0f60-2,6,7.091848536963034
AAR-POS-8a4e0f60-2,7,7.035687178210682
AAR-POS-8a4e0f60-2,8,6.965386328199581
AAR-POS-8a4e0f60-2,9,6.972232736818732
AAR-POS-8a4e0f60-2,10,7.202877443167952
AAR-POS-8a4e0f60-4,1,7.204636683621933
AAR-POS-8a4e0f60-4,2,7.017278198634696
AAR-POS-8a4e0f60-4,3,7.296590837884339
AAR-POS-8a4e0f60-4,4,6.982548985458983
AAR-POS-8a4e0f60-4,5,7.276132600593848
AAR-POS-8a4e0f60-4,6,7.163440471084464
AAR-POS-8a4e0f60-4,7,6.726734982739486
AAR-POS-8a4e0f60-4,8,7.3599759287379225
AAR-POS-8a4e0f60-4,9,6.913471991286492
AAR-POS-8a4e0f60-4,10,6.753738187312691
AAR-POS-8a4e0f60-6,1,7.289285650072147
AAR-POS-8a4e0f60-6,2,7.246596683261181
AAR-POS-8a4e0f60-6,3,7.129893819097568
AAR-POS-8a4e0f60-6,4,7.228436743256741
AAR-POS-8a4e0f60-6,5,7.279356703074701
AAR-POS-8a4e0f60-6,6,7.107636063325563
AAR-POS-8a4e0f60-6,7,7.1745731242091235
AAR-POS-8a4e0f60-6,8,7.108547120296366
AAR-POS-8a4e0f60-6,9,7.350131906898652
AAR-POS-8a4e0f60-6,10,7.343366534604285
AAR-POS-8a4e0f60-7,1,7.1056253790653825
AAR-POS-8a4e0f60-7,2,7.176909443389938
AAR-POS-8a4e0f60-7,3,6.9037727978133
AAR-POS-8a4e0f60-7,4,7.119219042235541
AAR-POS-8a4e0f60-7,5,7.30743486829837
AAR-POS-8a4e0f60-7,6,6.873631679709174
AAR-POS-8a4e0f60-7,7,7.161393572649572
AAR-POS-8a4e0f60-7,8,7.207237261183259
AAR-POS-8a4e0f60-7,9,7.060455183649681
AAR-POS-8a4e0f60-7,10,7.393052449772452
AAR-POS-8a4e0f60-8,1,7.145551724081472
AAR-POS-8a4e0f60-8,2,7.161476120546119
AAR-POS-8a4e0f60-8,3,6.897017075868582
AAR-POS-8a4e0f60-8,4,7.163110139471643
AAR-POS-8a4e0f60-8,5,7.357860586580085
AAR-POS-8a4e0f60-8,6,6.972956947052946
AAR-POS-8a4e0f60-8,7,6.967247960872457
AAR-POS-8a4e0f60-8,8,6.9864871358641425
AAR-POS-8a4e0f60-8,9,6.664550273115772
AAR-POS-8a4e0f60-8,10,7.325295949550455
AAR-POS-8a4e0f60-9,1,6.9664477966477945
AAR-POS-8a4e0f60-9,2,7.065123388333887
AAR-POS-8a4e0f60-9,3,7.097362935120434
AAR-POS-8a4e0f60-9,4,6.9426489425019415
AAR-POS-8a4e0f60-9,5,6.902073303890549
AAR-POS-8a4e0f60-9,6,7.000516275113767
AAR-POS-8a4e0f60-9,7,7.050858090714844
AAR-POS-8a4e0f60-9,8,6.993864039738033
AAR-POS-8a4e0f60-9,9,6.5966260599955575
