id,pose,plants
ADA-UCB-6c2cb422-1,9,-73.26100000000001
ADA-UCB-6c2cb422-1,10,-71.5993
BEN-DND-362d364a-10,1,-81.4663
BEN-DND-362d364a-10,2,-80.1192
BEN-DND-362d364a-10,3,-74.7236
BEN-DND-362d364a-10,4,-73.1655
BEN-DND-362d364a-10,5,-71.8149
BEN-DND-362d364a-10,6,-71.6887
BEN-DND-362d364a-10,7,-70.72
BEN-DND-362d364a-10,8,-69.5221
BEN-DND-362d364a-10,9,-68.277
BEN-DND-362d364a-10,10,-68.1198
BEN-DND-7e92b6ca-7,1,-73.1597
BEN-DND-7e92b6ca-7,2,-68.1163
BEN-DND-7e92b6ca-7,3,-63.4632
BEN-DND-7e92b6ca-7,4,-63.2917
BEN-DND-7e92b6ca-7,5,-62.9428
BEN-DND-7e92b6ca-7,6,-62.8873
BEN-DND-7e92b6ca-7,7,-61.6193
BEN-DND-7e92b6ca-7,8,-60.5136
BEN-DND-7e92b6ca-7,9,-60.0848
BEN-DND-7e92b6ca-7,10,-60.023
LON-WEI-1908424e-8,1,-88.4762
LON-WEI-1908424e-8,2,-87.3102
LON-WEI-1908424e-8,3,-83.3558
LON-WEI-1908424e-8,4,-82.2708
LON-WEI-1908424e-8,5,-82.2537
LON-WEI-1908424e-8,6,-82.1544
LON-WEI-1908424e-8,7,-82.0757
LON-WEI-1908424e-8,8,-78.9011
LON-WEI-1908424e-8,9,-78.7088
LON-WEI-1908424e-8,10,-77.9824
MAR-UNI-c84db004-11,1,-70.0751
MAR-UNI-c84db004-11,2,-69.2165
MAR-UNI-c84db004-11,3,-68.0289
MAR-UNI-c84db004-11,4,-66.9469
MAR-UNI-c84db004-11,5,-66.9232
MAR-UNI-c84db004-11,6,-66.4238
MAR-UNI-c84db004-11,7,-64.7267
MAR-UNI-c84db004-11,8,-63.7162
MAR-UNI-c84db004-11,9,-62.8758
MAR-UNI-c84db004-11,10,-61.9076
JAG-UCB-ef2c0e8e-6,1,-79.2212
JAG-UCB-ef2c0e8e-6,2,-73.6548
JAG-UCB-ef2c0e8e-6,3,-70.3497
JAG-UCB-ef2c0e8e-6,4,-68.3066
JAG-UCB-ef2c0e8e-6,5,-67.5036
JAG-UCB-ef2c0e8e-6,6,-67.0763
JAG-UCB-ef2c0e8e-6,7,-67.0208
JAG-UCB-ef2c0e8e-6,8,-66.9718
JAG-UCB-ef2c0e8e-6,9,-66.1229
JAG-UCB-ef2c0e8e-6,10,-65.3214
WAR-XCH-b72a1bbc-48,1,-77.8258
WAR-XCH-b72a1bbc-48,2,-68.3056
WAR-XCH-b72a1bbc-48,3,-66.765
WAR-XCH-b72a1bbc-48,4,-65.5484
WAR-XCH-b72a1bbc-48,5,-64.4009
WAR-XCH-b72a1bbc-48,6,-63.832
WAR-XCH-b72a1bbc-48,7,-60.4335
WAR-XCH-b72a1bbc-48,8,-60.308
WAR-XCH-b72a1bbc-48,9,-59.2484
WAR-XCH-b72a1bbc-48,10,-58.9323
MAT-POS-590ac91e-61,1,-80.7952
MAT-POS-590ac91e-61,2,-80.7027
MAT-POS-590ac91e-61,3,-74.6417
MAT-POS-590ac91e-61,4,-74.4126
MAT-POS-590ac91e-61,5,-72.0589
MAT-POS-590ac91e-61,6,-70.8557
MAT-POS-590ac91e-61,7,-70.5551
MAT-POS-590ac91e-61,8,-69.9706
MAT-POS-590ac91e-61,9,-69.64399999999999
